"SampleLeft,","LeftBump,","RightBump,","LeftSpd,",RightSpd
0,0.17,0.29,0.17,0.19
1,0.46,0.56,0.28,0.34
2,0.78,0.85,0.43,0.47
3,0.54,0.81,0.48,0.48
4,0.52,0.71,0.48,0.51
5,0.5,0.75,0.48,0.48
6,0.59,0.75,0.51,0.45
7,0.46,0.63,0.52,0.52
8,0.37,0.54,0.5,0.54
9,0.54,0.69,0.52,0.51
10,0.46,0.58,0.51,0.51
11,0.7,0.71,0.51,0.51
12,0.65,0.69,0.45,0.48
13,0.59,0.65,0.47,0.47
14,0.59,0.65,0.48,0.48
15,0.57,0.63,0.51,0.51
16,0.61,0.65,0.51,0.51
17,0.59,0.65,0.45,0.48
18,0.54,0.63,0.49,0.48
19,0.26,0.46,0.51,0.54
20,0.43,0.65,0.5,0.54
21,0.46,0.63,0.49,0.51
22,0.37,0.56,0.49,0.5
23,0.37,0.56,0.53,0.53
24,0.33,0.62,0.52,0.52
25,0.46,0.77,0.47,0.48
26,0.46,0.77,0.47,0.46
27,0.48,0.67,0.48,0.48
28,0.57,0.77,0.48,0.48
29,0.54,0.58,0.52,0.54
30,0.33,0.48,0.52,0.52
31,0.28,0.81,0.53,0.54
32,0.39,0.58,0.5,0.49
33,0.39,1.0,0.47,0.47
34,0.39,0.67,0.51,0.48
35,0.33,0.6,0.5,0.5
36,0.5,0.73,0.47,0.47
37,0.41,0.63,0.5,0.5
38,0.37,0.62,0.5,0.47
39,0.46,0.71,0.5,0.5
40,0.41,0.75,0.46,0.49
41,0.43,0.67,0.46,0.48
42,0.46,0.71,0.48,0.5
43,0.46,0.71,0.52,0.5
44,0.8,0.6,0.53,0.52
45,0.37,0.65,0.49,0.49
46,0.41,0.73,0.52,0.5
47,0.33,0.65,0.53,0.55
48,0.37,0.69,0.52,0.5
49,0.3,0.73,0.48,0.49
50,0.28,0.63,0.51,0.48
51,0.33,0.67,0.48,0.51
52,0.41,0.75,0.52,0.47
53,0.41,0.71,0.5,0.5
54,0.35,0.67,0.49,0.52
55,0.2,0.6,0.5,0.5
56,0.28,0.77,0.52,0.52
57,0.41,0.85,0.48,0.48
58,0.35,0.77,0.51,0.48
59,0.3,0.79,0.52,0.52
60,0.04,0.46,0.34,0.31
61,0.09,0.23,0.09,0.1
62,0.04,0.25,0.03,0.02
63,0.04,0.19,0.0,0.0
64,0.85,0.19,0.0,-0.01
65,0.37,0.21,0.0,0.0
66,0.37,0.21,0.06,0.17
67,0.57,0.21,0.31,0.32
68,1.0,0.25,0.41,0.42
69,0.63,0.69,0.22,0.24
70,0.13,0.19,0.36,0.36
71,0.04,0.19,0.39,0.36
72,0.15,0.73,0.31,0.32
73,0.04,0.25,0.12,0.12
74,0.28,0.25,0.0,0.0
75,0.2,0.19,0.0,0.0
76,0.7,0.19,0.0,0.0
77,0.41,0.15,0.0,0.0
78,0.41,0.15,0.08,0.14
79,1.0,0.19,0.32,0.33
80,0.87,0.46,0.24,0.27
81,0.0,0.25,0.24,0.29
82,0.46,0.83,0.37,0.37
83,0.33,0.71,0.3,0.31
84,0.09,0.29,0.08,0.11
85,0.37,0.21,0.0,0.01
86,1.0,0.33,0.0,0.0
87,0.87,0.27,0.0,0.0
88,0.28,0.27,0.0,0.0
89,0.65,0.27,0.13,0.21
90,1.0,0.46,0.36,0.33
91,0.57,0.88,0.31,0.32
92,0.13,0.77,0.2,0.25
93,0.07,0.83,0.1,0.04
94,0.26,1.0,0.01,0.01
95,0.26,1.0,0.0,0.0
96,0.2,1.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0