"SampleRight,","LeftBump,","RightBump,","LeftSpd,",RightSpd
0,0.4,0.43,0.53,0.47
1,0.3,0.39,0.52,0.46
2,0.35,0.35,0.53,0.52
3,0.45,0.35,0.3,0.34
4,1.0,1.0,0.53,0.45
5,0.25,0.3,0.11,0.17
6,0.1,0.22,0.0,0.08
7,0.2,0.26,0.0,0.0
8,0.2,0.26,0.03,0.18
9,0.4,0.3,0.41,0.4
10,1.0,0.74,0.57,0.56
11,1.0,0.65,0.49,0.49
12,1.0,0.65,0.48,0.47
13,1.0,0.78,0.26,0.27
14,0.0,0.17,0.03,0.01
15,0.0,0.13,0.0,0.0
16,0.0,0.13,0.0,0.0
17,0.1,0.74,0.39,0.32
18,1.0,1.0,0.21,0.24
19,0.45,0.7,0.35,0.29
20,1.0,0.52,0.26,0.31
21,0.0,0.13,0.0,0.08
22,0.0,0.22,0.0,0.0
23,0.1,1.0,0.0,0.0
24,0.0,0.78,0.0,0.0
25,0.1,0.83,0.0,0.0
26,0.2,1.0,0.2,0.2
27,0.5,1.0,0.17,0.2
28,0.65,1.0,0.28,0.29
29,1.0,1.0,0.14,0.17
30,1.0,1.0,0.42,0.37
31,1.0,0.35,0.55,0.57
32,0.2,0.26,0.1,0.11
33,0.1,0.26,0.0,0.0
34,0.65,0.74,0.0,0.0
35,0.4,0.83,0.07,0.12
36,1.0,1.09,0.51,0.49
37,1.0,0.26,0.39,0.39
38,1.0,0.35,0.0,0.0
39,1.0,0.22,0.0,0.0
40,1.0,0.65,0.0,0.0
41,1.0,1.0,0.26,0.22
42,1.0,0.48,0.51,0.51
43,1.0,0.35,0.14,0.18
44,1.0,0.22,0.0,0.0
45,1.0,0.3,0.0,0.0
46,1.0,0.96,0.0,0.0
47,1.0,1.0,0.4,0.33
48,1.0,0.91,0.54,0.57
49,0.0,0.0,0.08,0.11
50,0.0,0.22,0.0,0.0
51,0.0,0.26,0.0,0.0
52,0.0,0.22,0.1,0.12
53,1.0,0.52,0.46,0.41
54,0.85,0.22,0.04,0.07
55,1.0,0.3,0.0,0.0
56,1.0,0.35,0.0,0.0
57,1.0,0.65,0.0,0.04
58,1.0,1.0,0.47,0.41
59,1.0,0.22,0.42,0.43
60,1.0,0.13,0.01,0.01
61,1.0,0.17,0.01,0.0
62,1.0,0.13,0.0,0.0
63,1.0,0.52,0.0,0.0
64,1.0,1.0,0.4,0.35
65,1.0,0.65,0.2,0.22
66,1.0,0.35,0.0,0.0
67,1.0,0.35,0.0,0.0
68,1.0,0.35,0.0,0.0
69,1.0,0.35,0.0,0.0
70,1.0,0.35,0.0,0.0
71,1.0,0.35,0.0,0.0
72,1.0,0.35,0.0,0.0
73,1.0,0.35,0.0,0.0
74,1.0,0.35,0.0,0.0
75,1.0,0.35,0.0,0.0
76,1.0,0.35,0.0,0.0
77,1.0,0.35,0.0,0.0
78,1.0,0.35,0.0,0.0
79,1.0,0.35,0.0,0.0
80,1.0,0.35,0.0,0.0
81,1.0,0.35,0.0,0.0
82,1.0,0.26,0.0,0.0
83,1.0,0.22,0.0,0.0
84,1.0,0.26,0.0,0.0
85,1.0,0.65,0.0,0.0
86,1.0,0.52,0.0,0.0
87,1.0,1.0,0.49,0.4
88,0.0,0.3,0.12,0.24
89,0.4,0.26,0.0,0.0
90,0.4,0.26,0.0,0.0
91,0.75,0.3,0.0,0.0
92,1.0,0.35,0.16,0.16
93,1.0,0.3,0.0,0.0
94,1.0,0.3,0.01,0.04
95,1.0,0.3,0.0,0.0
96,1.0,0.22,0.0,0.0
97,1.0,0.35,0.0,0.0
98,1.0,0.35,0.0,0.0
99,0.0,0.0,0.0,0.0